Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

19:03:02        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:03:03           lo     18.56     18.56      5.18      5.18      0.00      0.00      0.00
19:03:03         eth1    320.62    344.33     54.81     64.03      0.00      0.00     84.54
19:03:03         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:03:03         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:03:03         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:03:03        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

19:03:03        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:03:04           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:03:04         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:03:04         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:03:04         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:03:04         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:03:04        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
